PI number,Height
PI505735,0.595496221825574
PI505735,0.592176757395867
PI197542,0.318063334962762
PI197542,0.311753861055754
PI593916,-0.119186407719209
PI593916,0.127104798364808
PI196586,0.421603926869831
PI619838,0.506505032404872
PI619838,0.519827993775719
PI330167,0.597695185925512
PI330167,0.631443769013172
PI655983,0.444044795918076
PI655983,0.450249108319361
PI563009,0.539076098792777
PI563009,0.557507201905658
PI329665,0.580924975675619
PI329665,0.535294120042771
PI585461,0.549003262025788
PI585461,0.619093330626743
PI569460,0.556302500767287
PI569460,0.594392550375427
PI562971,0.625312450961674
PI562971,0.642464520242121
PI255744,0.429752280002408
PI255744,0.447158031342219
PI329605,0.606381365110605
PI329605,0.578639209968072
PI569443,0.54282542695918
PI569443,0.537819095073274
PI569097,0.614897216033135
PI569097,0.61066016308988
PI167093,0.525044807036845
PI167093,0.591064607026499
PI563196,0.653212513775344
PI563196,0.654176541877961
PI154844,0.658964842664435
PI154844,0.670245853074124
PI329351,0.708420900134713
PI329351,0.688419822002711
PI563348,0.628388930050312
PI563348,0.620136054973758
PI570073,0.551449997972875
PI570073,0.409933123331295
PI155149,0.698970004336019
PI155149,0.673941998634088
PI92270,0.45178643552429
PI92270,0.437750562820388
PI329301,0.252853030979893
PI329301,0.729974285699556
PI562985,0.545307116465824
PI562985,0.608526033577194
PI196049,0.73559889969818
PI196049,0.716003343634799
PI535792,0.0530784434834197
PI535792,0.184691430817599
PI534165,0.0606978403536117
PI534165,0.0253058652647703
PI505735,0.625312450961674
PI505735,0.633468455579587
PI152860,0.655138434811382
PI152860,0.645422269349092
PI569421,0.60959440922522
PI569421,0.60422605308447
PI570076,0.608526033577194
PI570076,0.686636269262293
PI152727,0.628388930050312
PI152727,0.643452676486187
PI156203,0.599883072073688
PI156203,0.591064607026499
PI156487,0.59659709562646
PI156487,0.615950051656401
PI641817,0.356025857193123
PI641817,0.389166084364533
PI563002,0.539076098792777
PI563002,0.54282542695918
PI569447,0.577491799837225
PI569447,0.578639209968072
PI35038,0.436162647040756
PI35038,0.404833716619938
PI562730,0.702430536445525
PI562730,0.69810054562339
PI569423,0.570542939881898
PI569423,0.559906625036112
PI329570,0.661812685537261
PI329570,0.650307523131936
PI156393,0.587710965018911
PI156393,0.598790506763115
PI329501,0.176091259055681
PI564163,-0.00877392430750515
PI653616,0.553883026643874
PI570393,0.615950051656401
PI535793,0.161368002234975
PI156018,0.633468455579587
PI297155,0.342422680822206
PI643016,0.622214022966295
PI329465,0.643452676486187
PI656015,0.117271295655764
PI329617,0.724275869600789
PI570109,0.568201724066995
PI330169,0.713490543093942
PI329510,0.704150516839799
PI563329,0.713490543093942
PI329584,0.630427875025024
PI563332,0.719331286983727
PI52606,0.230448921378274
PI329333,0.696356388733332
PI535785,0.413299764081252
PI152694,0.645422269349092
PI329569,0.709269960975831
PI329841,0.73559889969818
PI521290,0.720985744153739
PI642998,0.539076098792777
PI562991,0.663700925389648
PI569422,0.568201724066995
PI330196,0.728353782021229
PI570031,0.298853076409707
PI329843,0.618048096712093
PI513898,0.549003262025788
PI533998,0.0453229787866575
PI569452,0.643452676486187
PI542718,-0.568636235841013
PI562981,0.593286067020457
PI569453,0.626340367375042
PI452692,0.681241237375587
PI329440,0.629409599102719
PI329673,0.608526033577194
PI562994,0.612783856719736
PI569427,0.556302500767287
PI569886,0.603144372620182
PI152728,0.568201724066995
PI569447,0.482873583608754
PI35038,0.338456493604605
PI152727,0.6232492903979
PI569443,0.532754378992498
PI513898,0.552668216112193
PI154844,0.639486489268586
PI152694,0.626340367375042
PI569886,0.589949601325708
PI585461,0.602059991327962
PI329510,0.657055852857104
PI156203,0.57978359661681
PI156487,0.633468455579587
PI533998,-0.00877392430750515
PI569422,0.585460729508501
PI619838,0.54282542695918
PI641817,0.356025857193123
PI563009,0.565847818673518
PI570073,0.519827993775719
PI563332,0.612783856719736
PI452692,0.65991620006985
PI329301,0.702430536445525
PI564163,0.0170333392987804
PI329617,0.550228353055094
PI52606,0.146128035678238
PI562730,0.625312450961674
PI569097,0.562292864456475
PI329501,0.518513939877887
PI330169,0.670245853074124
PI329584,0.672097857935718
PI643016,0.680335513414563
PI569460,0.558708570533166
PI570393,0.637489729512511
PI156018,0.562292864456475
PI535793,0.143014800254095
PI542718,0.181843587944773
PI542718,0.227886704613674
PI521290,0.660865478003869
PI152728,0.561101383649056
PI255744,0.469822015978163
PI329440,0.693726948923647
PI329665,0.603144372620182
PI569453,0.634477270160732
PI653616,0.523746466811564
PI156393,0.59659709562646
PI167093,0.585460729508501
PI329605,0.634477270160732
PI562985,0.594392550375427
PI152860,0.679427896612119
PI593916,0.173186268412274
PI569452,0.638489256954637
PI656015,0.298853076409707
PI569421,0.608526033577194
PI329569,0.64738297011462
PI92270,0.444044795918076
PI196586,0.439332693830263
PI569423,0.575187844927661
PI563002,0.557507201905658
PI534165,-0.102372908709559
PI570076,0.672097857935718
PI642998,0.569373909615046
PI570109,0.434568904034199
PI329570,0.614897216033135
PI329673,0.622214022966295
PI196049,0.645422269349092
PI329465,0.344392273685111
PI330196,0.705863712283919
PI562991,0.68930885912362
PI155149,0.713490543093942
PI329843,0.628388930050312
PI535785,0.440909082065218
PI197542,0.60530504614111
PI562994,0.630427875025024
PI329351,0.69810054562339
PI569427,0.562292864456475
PI563196,0.611723308007342
PI297155,0.338456493604605
PI562971,0.658964842664435
PI562981,0.618048096712093
PI329841,0.645422269349092
PI570031,0.607455023214669
PI330167,0.6414741105041
PI505735,0.704150516839799
PI563348,0.671172842715083
PI329333,0.687528961214634
PI505735,0.685741738602264
PI655983,0.47567118832443
PI563329,0.745074791582058
PI513898,0.515873843711679
PI563332,0.676693609624867
PI535793,0.0718820073061254
PI329843,0.651278013998144
PI92270,0.346352974450639
PI329440,0.589949601325708
PI535792,0.0293837776852097
PI562981,0.559906625036112
PI329501,0.570542939881898
PI156203,0.585460729508501
PI330169,0.693726948923647
PI569447,0.588831725594207
PI569453,0.636487896353365
PI156393,0.582063362911709
PI154844,0.669316880566112
PI52606,0.198657086954423
PI329510,0.642464520242121
PI330167,0.658964842664435
PI643016,0.673941998634088
PI152860,0.657055852857104
PI330196,0.589949601325708
PI642998,0.164352855784437
PI593916,0.15836249209525
PI156487,0.631443769013172
PI641817,0.322219294733919
PI585461,0.547774705387823
PI329673,0.69196510276736
PI563196,0.606381365110605
PI329569,0.677606952720493
PI563002,0.547774705387823
PI562730,0.650307523131936
PI569427,0.491361693834273
PI569452,0.631443769013172
PI569460,0.487138375477186
PI569423,0.556302500767287
PI570109,0.519827993775719
PI35038,0.369215857410143
PI196586,0.574031267727719
PI255744,0.450249108319361
PI562991,0.591064607026499
PI570073,0.568201724066995
PI563348,0.6232492903979
PI452692,0.662757831681574
PI329665,0.61066016308988
PI653616,0.47567118832443
PI329333,0.682145076373832
PI569421,0.618048096712093
PI569443,0.260071387985075
PI329584,0.637489729512511
PI329301,0.711807229041191
PI562971,0.651278013998144
PI329570,0.654176541877961
PI505735,0.683947130751512
PI569422,0.550228353055094
PI569886,0.620136054973758
PI656015,0.269512944217916
PI562985,0.568201724066995
PI155149,0.709269960975831
PI167093,0.537819095073274
PI569097,0.69196510276736
PI570076,0.662757831681574
PI152694,0.643452676486187
PI521290,0.710117365111816
PI570031,0.564666064252089
PI329617,0.680335513414563
PI534165,0.0413926851582251
PI570393,0.593286067020457
PI655983,0.492760389026838
PI563329,0.683947130751512
PI196049,0.723455672035186
PI297155,0.380211241711606
PI156018,0.564666064252089
PI542718,-0.275724130399211
PI329841,0.730782275666389
PI564163,0.0453229787866575
PI329351,0.707570176097936
PI562994,0.57978359661681
PI152727,0.681241237375587
PI563009,0.570542939881898
PI329605,0.602059991327962
PI505735,0.664641975556126
PI329465,0.599883072073688
PI535785,0.372912002970107
PI152728,0.568201724066995
PI533998,0.00860017176191757
